,time,latitude,longitude,elevation
139,2020-10-09 12:29:54,52.378642838,9.734703619,67.43
140,2020-10-09 12:29:56,52.378640072,9.734672355,67.43
141,2020-10-09 12:29:59,52.378632193,9.734631032,67.43
142,2020-10-09 12:30:06,52.378631104,9.734523827,67.43
143,2020-10-09 12:30:11,52.378614927,9.734457191,67.43
144,2020-10-09 12:30:12,52.378616603,9.734442523,67.43
145,2020-10-09 12:30:15,52.378617441,9.734391142,67.91
146,2020-10-09 12:30:17,52.378613502,9.734355183,67.43
147,2020-10-09 12:31:27,52.378490623,9.733456979,66.95
148,2020-10-09 12:31:28,52.378489701,9.733448094,66.47
149,2020-10-09 12:31:29,52.378478553,9.733411632,66.95
150,2020-10-09 12:31:30,52.37847981,9.733383888,66.95
151,2020-10-09 12:31:31,52.378478218,9.733360335,66.95
152,2020-10-09 12:31:34,52.378470255,9.733297471,66.95
153,2020-10-09 12:31:36,52.378463549,9.733260423,66.95
154,2020-10-09 12:31:38,52.378460867,9.733220693,66.95
155,2020-10-09 12:31:39,52.378455838,9.733205689,66.95
156,2020-10-09 12:31:42,52.378446283,9.733152799,66.47
157,2020-10-09 12:31:43,52.378441505,9.733136957,66.95
158,2020-10-09 12:31:44,52.378440332,9.733123546,66.95
159,2020-10-09 12:31:45,52.378442343,9.733123798,66.95
160,2020-10-09 12:31:47,52.378442008,9.7331155,66.95
161,2020-10-09 12:31:49,52.378437566,9.733112482,66.95
162,2020-10-09 12:31:51,52.378433542,9.733105274,66.95
163,2020-10-09 12:31:56,52.378427507,9.733086415,66.95
164,2020-10-09 12:31:57,52.378429854,9.733088175,66.95
165,2020-10-09 12:31:58,52.378425328,9.733086834,66.95
166,2020-10-09 12:32:00,52.378423316,9.73308851,66.47
167,2020-10-09 12:32:04,52.378425831,9.733078117,66.47
168,2020-10-09 12:32:07,52.378425328,9.733060012,66.47
169,2020-10-09 12:32:08,52.378422227,9.733057497,66.47
170,2020-10-09 12:32:09,52.378423736,9.733055066,66.95
171,2020-10-09 12:32:10,52.378421472,9.733053641,66.95
172,2020-10-09 12:32:13,52.378419628,9.733048696,66.95
173,2020-10-09 12:32:16,52.378419544,9.733038554,66.47
174,2020-10-09 12:32:19,52.378416946,9.733038051,66.47
175,2020-10-09 12:32:31,52.378429938,9.733038135,66.47
176,2020-10-09 12:32:37,52.378432453,9.733009301,66.47
177,2020-10-09 12:32:41,52.378436057,9.732989687,66.47
178,2020-10-09 12:32:42,52.378436141,9.732985245,66.47
179,2020-10-09 12:32:45,52.378431698,9.732978623,66.47
180,2020-10-09 12:32:47,52.378431447,9.732971415,66.47
181,2020-10-09 12:32:51,52.378435386,9.7329544,66.47
182,2020-10-09 12:32:53,52.378434129,9.732950963,65.99
183,2020-10-09 12:32:54,52.378436057,9.732952891,65.99
184,2020-10-09 12:32:56,52.378426921,9.732949873,65.99
185,2020-10-09 12:32:57,52.37842164,9.732943587,65.99
186,2020-10-09 12:33:00,52.378408397,9.732916011,65.99
187,2020-10-09 12:33:02,52.378398254,9.73289975,65.99
188,2020-10-09 12:33:03,52.378397081,9.732893044,65.99
189,2020-10-09 12:33:05,52.37839004,9.732884327,65.99
190,2020-10-09 12:33:06,52.378387442,9.732888183,66.47
191,2020-10-09 12:33:08,52.378381491,9.73288768,65.99
192,2020-10-09 12:33:11,52.378384173,9.732881896,65.99
193,2020-10-09 12:33:12,52.378386436,9.732881142,66.47
194,2020-10-09 12:33:15,52.378381574,9.732862199,65.99
195,2020-10-09 12:33:19,52.378363721,9.732822971,65.99
196,2020-10-09 12:33:20,52.378357267,9.732813668,65.99
197,2020-10-09 12:33:22,52.378347628,9.732790366,65.99
198,2020-10-09 12:33:26,52.378341844,9.732743511,65.99
199,2020-10-09 12:33:50,52.378327344,9.732673271,65.99
200,2020-10-09 12:34:09,52.378322985,9.732695315,65.99
201,2020-10-09 12:34:49,52.378313597,9.732588278,65.99
202,2020-10-09 12:34:51,52.378314268,9.732560031,65.99
203,2020-10-09 12:34:52,52.37831586,9.732549889,65.99
204,2020-10-09 12:34:53,52.378318794,9.732553326,65.99
205,2020-10-09 12:34:55,52.378325667,9.73253849,65.99
206,2020-10-09 12:35:00,52.378328433,9.732460789,65.51
207,2020-10-09 12:35:03,52.378338827,9.73241779,65.51
208,2020-10-09 12:35:04,52.378344191,9.732403876,65.51
209,2020-10-09 12:35:06,52.378351986,9.732393986,65.51
210,2020-10-09 12:35:09,52.378351651,9.732371187,66.47
211,2020-10-09 12:35:17,52.378336312,9.732278399,66.47
212,2020-10-09 12:35:20,52.378322063,9.732230119,66.47
213,2020-10-09 12:35:23,52.378305718,9.732185276,66.47
214,2020-10-09 12:35:28,52.378293062,9.732102128,66.47
215,2020-10-09 12:35:30,52.378290882,9.732069857,66.47
216,2020-10-09 12:35:33,52.378283842,9.732022248,65.99
217,2020-10-09 12:35:36,52.378281243,9.731979584,65.99
218,2020-10-09 12:35:37,52.378278812,9.731973046,66.47
219,2020-10-09 12:35:43,52.378274873,9.73198453,66.47
220,2020-10-09 12:35:47,52.378271017,9.731965754,66.47
221,2020-10-09 12:35:49,52.378273783,9.731950332,66.47
222,2020-10-09 12:35:51,52.378272274,9.731920576,66.47
223,2020-10-09 12:35:54,52.378273029,9.731869446,66.47
224,2020-10-09 12:35:58,52.378276382,9.731817897,66.47
225,2020-10-09 12:35:59,52.37827613,9.731804151,66.47
226,2020-10-09 12:36:00,52.378277974,9.731790321,66.47
227,2020-10-09 12:36:04,52.378304293,9.731752267,66.47
228,2020-10-09 12:36:05,52.378308233,9.731736844,66.47
229,2020-10-09 12:36:06,52.378313513,9.731726367,66.47
230,2020-10-09 12:36:07,52.378319045,9.731718739,66.47
231,2020-10-09 12:36:08,52.378327427,9.731714548,65.99
232,2020-10-09 12:36:09,52.378332876,9.731706251,65.99
233,2020-10-09 12:36:12,52.378355926,9.731694013,65.99
234,2020-10-09 12:36:15,52.378374869,9.731676411,65.99
235,2020-10-09 12:36:16,52.378378725,9.731675154,66.47
236,2020-10-09 12:36:18,52.378374198,9.731701473,66.47
237,2020-10-09 12:36:20,52.378376043,9.731707759,65.99
238,2020-10-09 12:36:24,52.378389873,9.731685463,65.99
239,2020-10-09 12:36:25,52.378395153,9.731673645,66.47
240,2020-10-09 12:36:27,52.378400099,9.731646068,66.47
241,2020-10-09 12:36:28,52.378404792,9.731639447,66.47
242,2020-10-09 12:36:29,52.378405798,9.731645146,66.47
243,2020-10-09 12:36:30,52.37840781,9.731642045,66.47
244,2020-10-09 12:36:31,52.37840957,9.731631484,65.99
245,2020-10-09 12:36:32,52.378416359,9.731621761,66.47
246,2020-10-09 12:36:35,52.378434548,9.731585886,66.47
247,2020-10-09 12:36:36,52.378438152,9.731571889,66.47
248,2020-10-09 12:36:37,52.378439661,9.731558729,66.47
249,2020-10-09 12:36:41,52.378454832,9.731511874,66.47
250,2020-10-09 12:36:42,52.378459778,9.731502822,65.99
251,2020-10-09 12:36:47,52.378493892,9.731473234,66.47
252,2020-10-09 12:36:50,52.378513925,9.731449932,66.47
253,2020-10-09 12:36:51,52.378520295,9.73144155,66.47
254,2020-10-09 12:36:53,52.378530269,9.731421517,66.47
255,2020-10-09 12:36:56,52.378548877,9.731393605,65.99
256,2020-10-09 12:37:02,52.37859305,9.731346248,65.99
257,2020-10-09 12:37:05,52.378608473,9.731320515,66.47
258,2020-10-09 12:38:06,52.378404792,9.731639447,66.47
