"NODE_ID","NODE_TYPE","LOCATION_TYPE","LOCATED_MIDPOINT","COMPLEX_INT_NO","AMG_X","AMG_Y","ROAD_NAME_1","ROAD_TYPE_1","ROAD_DESC_1","ROAD_ROUTE_1","ROAD_NAME_2","ROAD_TYPE_2","ROAD_DESC_2","ROAD_NAME_3","ROAD_TYPE_3","ROAD_DESC_3","DISTANCE_LOCATION","DIRECTION_LOCATION","NEAREST_KM_POST","OFF_ROAD_LOCATION","DIRECTORY","EDITION","PAGE","GRID_REFERENCE_X","GRID_REFERENCE_Y","LGA_NAME","REGION_NAME","UNKNOWN"
46127,"I","I","N",8483,493916.250416533,5815810.79392933,"PRINCES","HIGHWAY WEST","",2500,"PRINCES","STREET","","","","",,"",,"","MEL","ED35","2A","A","1","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
46158,"I","I","N",8683,497442.883993899,5810877.00910083,"ST KILDA","ROAD","",5882,"DOMAIN","ROAD","","","","",,"",,"","MEL","ED35","2K","J","2","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
46169,"I","I","N",8629,500766.300886393,5812334.37289043,"BRIDGE","ROAD","",5285,"WHITES","PLACE","","","","",,"",,"","MEL","ED35","2H","F","7","YARRA","METROPOLITAN NORTH WEST REGION",0
46186,"I","I","N",0,508337.98102847,5807171.18699969,"HIGH","STREET","",5801,"HAROLD","STREET","","","","",,"",,"","MEL","ED35","60","H","10","MONASH","METROPOLITAN SOUTH EAST REGION",0
46219,"I","I","N",0,519651.102724104,5804612.48539208,"ARGYLE","WAY","",104125,"GEORGE","STREET","","","","",,"",,"","MEL","ED35","72","G","5","KNOX","METROPOLITAN SOUTH EAST REGION",0
46229,"I","I","N",0,500673.388893146,5812740.95112188,"BURNLEY","ROAD","",5293,"NORTH","STREET","","","","",,"",,"","MEL","ED35","2H","E","5","YARRA","METROPOLITAN NORTH WEST REGION",0
46250,"I","I","N",0,510617.54472474,5770991.29580558,"BELLBIRD","ROAD","",109373,"HUMPHRIES","ROAD","","","","",,"",,"","MEL","ED35","106","C","3","FRANKSTON","METROPOLITAN SOUTH EAST REGION",0
46253,"I","I","N",0,488316.21191566,5811082.27995471,"ALOHA","STREET","",102398,"TRUMAN","STREET","","","","",,"",,"","MEL","ED35","55","F","1","HOBSONS BAY","METROPOLITAN NORTH WEST REGION",0
46255,"I","I","N",5108,523436.254237883,5816397.37445992,"CROYDON-WARRANDYTE","ROAD","",5430,"SANDGATE","AVENUE","","","","",,"",,"","MEL","ED35","36","F","12","MAROONDAH","METROPOLITAN SOUTH EAST REGION",0
46282,"I","I","N",0,511915.412629668,5811349.35862975,"DONCASTER-MORDIALLOC","ROAD","",5803,"DUCKHAM","STREET","","","","",,"",,"","MEL","ED35","47","G","12","WHITEHORSE","METROPOLITAN SOUTH EAST REGION",0
46274,"I","I","N",0,511878.412366388,5776311.42804607,"BEACH","STREET","",108544,"BEACH-MOOROODUC OUT","RAMP","","","","",,"",,"","MEL","ED35","100A","K","7","FRANKSTON","METROPOLITAN SOUTH EAST REGION",158
46283,"I","I","N",8530,497690.190538543,5814875.31057728,"NICHOLSON","STREET","",5736,"PALMERSTON","STREET","","","","",,"",,"","MEL","ED35","2B","K","6","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
46312,"I","I","N",8361,491915.257535145,5819376.66233155,"BUCKLEY","STREET","",5581,"CLARINDA","ROAD","","","","",,"",,"","MEL","ED35","28","F","4","MOONEE VALLEY","METROPOLITAN NORTH WEST REGION",0
46375,"I","I","N",8634,500992.332866769,5812304.73253039,"BRIDGE","ROAD","",5285,"TUDOR","STREET","","","","",,"",,"","MEL","ED35","2H","G","7","YARRA","METROPOLITAN NORTH WEST REGION",0
