track_seg_point_id,ele,time,speed,longitude,latitude
8107,383.79057495,2019-07-12T16:49:23,1.2399159669876099,-5.039604902,7.693024037
8108,383.610096704,2019-07-12T16:49:24,1.2330540418624878,-5.039601768,7.693039006
8109,383.42464949,2019-07-12T16:49:25,1.2248950004577637,-5.039597455,7.693054106
8110,383.251780092,2019-07-12T16:49:26,1.206652045249939,-5.039592373,7.693066919
8111,383.0808465,2019-07-12T16:49:27,1.184617042541504,-5.039587666,7.693071904
8112,382.903073027,2019-07-12T16:49:28,1.166653037071228,-5.039580775,7.69308112
8113,382.731356058,2019-07-12T16:49:29,1.1538180112838745,-5.039573809,7.693085805
8114,382.56066511,2019-07-12T16:49:30,1.146206021308899,-5.039564901,7.693092918
8115,382.389899872,2019-07-12T16:49:31,1.14888596534729,-5.039553435,7.693105418
8116,382.229113067,2019-07-12T16:49:32,1.1575039625167847,-5.039546281,7.693111458
8117,382.103694802,2019-07-12T16:49:33,1.1701200008392334,-5.03954247,7.693113967
8118,381.977550641,2019-07-12T16:49:34,1.1803560256958008,-5.039539024,7.693118955
8119,381.843562248,2019-07-12T16:49:35,1.1857240200042725,-5.039537234,7.693125096
8120,381.700937122,2019-07-12T16:49:36,1.184594988822937,-5.039536206,7.693133365
8121,381.550855022,2019-07-12T16:49:37,1.186344027519226,-5.039535718,7.693143462
8122,381.407391332,2019-07-12T16:49:38,1.1926649808883667,-5.039533588,7.693158569
8123,381.282290676,2019-07-12T16:49:39,1.201220989227295,-5.039528568,7.693178883
8124,381.167420949,2019-07-12T16:49:40,1.2111760377883911,-5.03952495,7.693197244
8125,381.04769525,2019-07-12T16:49:41,1.224552035331726,-5.039522154,7.693217733
8126,380.93957897,2019-07-12T16:49:42,1.237678050994873,-5.039521941,7.693233943
8127,380.85705973,2019-07-12T16:49:43,1.246340036392212,-5.039515644,7.69325195
8128,380.80350083,2019-07-12T16:49:44,1.2593410015106201,-5.03951197,7.693262408
8129,380.773423504,2019-07-12T16:49:45,1.274412989616394,-5.039508227,7.693272306
8130,380.77181416,2019-07-12T16:49:46,1.2902300357818604,-5.039501744,7.693286805
8131,380.785492895,2019-07-12T16:49:47,1.2974419593811035,-5.039497235,7.693296574
