_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - position,_ - imageUri,_ - headquarters,_ - revenue,_ - marketValue,_ - assets,_ - ceo,_ - industry,_ - state,_ - thumbnail,_ - squareImage
https://www.forbes.com/companies/coca-cola,209,Coca-Cola,United States,1434,209,coca-cola,Georgia,33682,179317,93282,James Quincey,Beverages,Georgia,http://specials-images.forbesimg.com/imageserve/5798d4754bbe6f17e8fbb6f8/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/5798d4754bbe6f17e8fbb6f8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
https://www.forbes.com/companies/coca-cola-european-partners,726,Coca-Cola European Partners,United Kingdom,765.9,726,coca-cola-european-partners,United Kingdom,12902,18777,22361,Damian Gammell,Beverages,,,
https://www.forbes.com/companies/coca-cola-hbc,1376,Coca-Cola HBC,Switzerland,481.7,1376,coca-cola-hbc,Switzerland,7363,12565,8028,Zoran Bogdanovic,Beverages,,,
https://www.forbes.com/companies/coca-cola-west,1852,Coca-Cola West,Japan,233.1,1852,no-pic,Japan,8908,8273,8358,Hisashi Kubo,Beverages,,,
https://www.forbes.com/companies/cognizant,573,Cognizant,United States,1467,573,cognizant,New Jersey,15176,44868,15045,Francisco D'Souza,Computer Services,New Jersey,,
https://www.forbes.com/companies/colgate-palmolive,549,Colgate-Palmolive,United States,2088,549,colgate-palmolive,New York,15694,54703,13144,Ian Cook,Household/Personal Care,New York,http://specials-images.forbesimg.com/imageserve/580f956ca7ea435b91b076ba/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/57ffacf04bbe6f19f2b51aef/416x416.jpg?background=000000&cropX1=201&cropX2=1932&cropY1=206&cropY2=1936
https://www.forbes.com/companies/coloplast,1385,Coloplast,Denmark,593.3,1385,coloplast,Denmark,2494,20216,2104,Lars Rasmussen,Medical Equipment & Supplies,,http://specials-images.forbesimg.com/imageserve/5798e2fd31358e154fde0030/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/5798e2fd31358e154fde0030/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
https://www.forbes.com/companies/colruyt,1566,Colruyt,Belgium,407.6,1566,colruyt,Belgium,10258,8198,5014,Jef Colruyt,Food Retail,,,
https://www.forbes.com/companies/comcast,34,Comcast,United States,23266,34,comcast,Pennsylvania,86854,146792,190876,Brian Roberts,Broadcasting & Cable,Pennsylvania,,
https://www.forbes.com/companies/comerica,836,Comerica,United States,817,836,comerica,Texas,3321,16832,72335,Ralph Babb,Major Banks,Texas,,
https://www.forbes.com/companies/commercial-bank-for-investment-development-of-vietnam,1714,Commercial Bank For Investment & Development Of Vietnam,Vietnam,310.5,1714,commercial-bank-for-investment-development-of-vietnam,Vietnam,4243,5105,53791,Tu Phan,Regional Banks,,,
https://www.forbes.com/companies/commercial-bank-of-qatar,1838,Commercial Bank of Qatar,Qatar,185.8,1838,commercial-bank-of-qatar,Qatar,1832,4022,40183,Joseph Abraham,Regional Banks,,,
https://www.forbes.com/companies/commerzbank,690,Commerzbank,Germany,160.2,690,commerzbank,Germany,16153,16146,547945,Martin Zielke,Regional Banks,,,
https://www.forbes.com/companies/commonwealth-bank,71,Commonwealth Bank,Australia,7618.4,71,commonwealth-bank,Australia,33038,93505,752374,Matthew Comyn,Major Banks,,,
https://www.forbes.com/companies/community-health-sys,1469,Community Health Systems,United States,-2284,1469,community-health-sys,Tennessee,14558,507,17311,Wayne Smith,Healthcare Services,Tennessee,,
https://www.forbes.com/companies/compal-electronics,1500,Compal Electronics,Taiwan,189,1500,compal-electronics,Taiwan,29177,2966,12210,Jui-Tsung Chen,Computer Hardware,,,
