Ticker,Date
IBM,2007-03-21
IBM,2007-04-17
IBM,2007-04-18
IBM,2007-04-24
IBM,2007-04-27
IBM,2007-05-17
IBM,2007-05-29
IBM,2007-06-04
IBM,2007-06-05
IBM,2007-06-26
IBM,2007-06-26
IBM,2007-07-18
IBM,2007-07-19
IBM,2007-08-01
IBM,2007-08-03
IBM,2007-08-07
IBM,2007-08-10
IBM,2007-09-13
IBM,2007-09-20
IBM,2007-10-16
IBM,2007-10-17
IBM,2007-10-19
IBM,2007-11-13
IBM,2007-11-14
IBM,2007-11-15
IBM,2007-11-27
IBM,2007-12-03
IBM,2008-01-14
IBM,2008-01-17
IBM,2008-01-18
IBM,2008-01-28
IBM,2008-02-04
IBM,2008-02-26
IBM,2008-02-27
IBM,2008-03-03
IBM,2008-03-06
IBM,2008-03-06
IBM,2008-04-01
IBM,2008-04-04
IBM,2008-04-16
IBM,2008-04-17
IBM,2008-05-05
IBM,2008-06-24
IBM,2008-06-25
IBM,2008-07-17
IBM,2008-07-18
IBM,2008-07-25
IBM,2008-07-29
IBM,2008-09-08
IBM,2008-09-12
IBM,2008-09-18
IBM,2008-09-18
IBM,2008-09-23
IBM,2008-10-09
IBM,2008-10-09
IBM,2008-10-14
IBM,2008-10-16
IBM,2008-10-17
IBM,2008-10-23
IBM,2008-11-05
IBM,2008-11-14
IBM,2008-11-17
IBM,2009-01-20
IBM,2009-01-21
IBM,2009-02-02
IBM,2009-02-26
IBM,2009-03-20
IBM,2009-03-27
IBM,2009-04-20
IBM,2009-04-21
IBM,2009-05-13
IBM,2009-07-16
IBM,2009-07-17
IBM,2009-09-08
IBM,2009-10-15
IBM,2009-10-16
IBM,2009-11-05
IBM,2010-01-19
IBM,2010-01-20
IBM,2010-01-29
IBM,2010-04-19
IBM,2010-04-20
IBM,2010-04-29
IBM,2010-05-12
IBM,2010-07-19
IBM,2010-07-20
IBM,2010-08-04
IBM,2010-08-31
IBM,2010-10-18
IBM,2010-10-19
IBM,2010-12-06
IBM,2010-12-08
IBM,2010-12-14
IBM,2011-01-04
IBM,2011-01-18
IBM,2011-01-19
IBM,2011-01-27
IBM,2011-01-28
IBM,2011-03-08
IBM,2011-03-18
IBM,2011-04-19
IBM,2011-04-20
IBM,2011-04-28
IBM,2011-05-11
IBM,2011-07-18
IBM,2011-07-19
IBM,2011-07-21
IBM,2011-10-17
IBM,2011-10-18
IBM,2011-10-25
IBM,2011-10-26
IBM,2011-10-31
IBM,2011-11-14
IBM,2012-01-03
IBM,2012-01-19
IBM,2012-01-20
IBM,2012-02-03
IBM,2012-02-03
IBM,2012-02-09
IBM,2012-04-17
IBM,2012-04-18
IBM,2012-04-18
IBM,2012-04-26
IBM,2012-05-09
IBM,2012-05-10
IBM,2012-07-18
IBM,2012-07-19
IBM,2012-07-27
IBM,2012-08-01
IBM,2012-09-25
IBM,2012-10-12
IBM,2012-10-16
IBM,2012-10-17
IBM,2012-11-05
IBM,2012-11-16
MSFT,2005-01-11
MSFT,2005-01-27
MSFT,2005-02-07
MSFT,2005-03-23
MSFT,2005-04-11
MSFT,2005-04-25
MSFT,2005-04-28
MSFT,2005-05-04
MSFT,2005-05-23
MSFT,2005-06-29
MSFT,2005-07-21
MSFT,2005-08-04
MSFT,2005-09-28
MSFT,2005-09-28
MSFT,2005-10-27
MSFT,2005-11-14
MSFT,2005-11-21
MSFT,2005-11-29
MSFT,2006-01-20
MSFT,2006-01-26
MSFT,2006-02-03
MSFT,2006-03-10
MSFT,2006-04-13
MSFT,2006-04-27
MSFT,2006-06-12
MSFT,2006-06-16
MSFT,2006-07-17
MSFT,2006-07-20
MSFT,2006-08-25
MSFT,2006-10-10
MSFT,2006-10-24
MSFT,2006-10-26
MSFT,2006-11-14
MSFT,2007-01-25
MSFT,2007-02-27
MSFT,2007-03-26
MSFT,2007-04-26
MSFT,2007-05-16
MSFT,2007-05-24
MSFT,2007-07-05
MSFT,2007-07-19
MSFT,2007-08-13
MSFT,2007-10-19
MSFT,2007-10-25
MSFT,2007-11-27
MSFT,2007-12-05
MSFT,2008-01-11
MSFT,2008-01-24
MSFT,2008-02-01
MSFT,2008-02-12
MSFT,2008-02-14
MSFT,2008-04-07
MSFT,2008-04-24
MSFT,2008-04-24
MSFT,2008-05-05
MSFT,2008-05-19
MSFT,2008-06-17
MSFT,2008-07-17
MSFT,2008-07-25
MSFT,2008-08-01
MSFT,2008-09-22
MSFT,2008-09-25
MSFT,2008-10-23
MSFT,2008-10-23
MSFT,2008-11-20
MSFT,2009-01-22
MSFT,2009-03-10
MSFT,2009-03-13
MSFT,2009-04-23
MSFT,2009-05-15
MSFT,2009-07-23
MSFT,2009-09-11
MSFT,2009-10-23
MSFT,2009-11-24
MSFT,2009-12-04
MSFT,2010-01-28
MSFT,2010-04-22
MSFT,2010-05-25
MSFT,2010-06-08
MSFT,2010-06-09
MSFT,2010-06-18
MSFT,2010-07-22
MSFT,2010-09-13
MSFT,2010-09-27
MSFT,2010-10-28
MSFT,2010-11-19
MSFT,2011-01-27
MSFT,2011-02-08
MSFT,2011-04-28
MSFT,2011-05-10
MSFT,2011-07-21
MSFT,2011-10-20
MSFT,2011-11-17
MSFT,2012-01-19
MSFT,2012-02-21
MSFT,2012-04-19
MSFT,2012-05-03
MSFT,2012-06-18
MSFT,2012-07-02
MSFT,2012-07-19
MSFT,2012-09-18
MSFT,2012-10-09
MSFT,2012-10-18
MSFT,2012-11-02
MSFT,2012-11-07
MSFT,2012-11-16
MSFT,2012-11-29
