Start,End,Average daily use
21/10/17 0:00,22/10/17 0:00,14.4
20/10/17 0:00,21/10/17 0:00,7.7
19/10/17 0:00,20/10/17 0:00,13.1
18/10/17 0:00,19/10/17 0:00,8.9
17/10/17 0:00,18/10/17 0:00,4.6
16/10/17 0:00,17/10/17 0:00,2.3
15/10/17 0:00,16/10/17 0:00,4.2
14/10/17 0:00,15/10/17 0:00,6.3
13/10/17 0:00,14/10/17 0:00,18
12/10/17 0:00,13/10/17 0:00,5.8
11/10/17 0:00,12/10/17 0:00,11.9
10/10/17 0:00,11/10/17 0:00,7.2
9/10/17 0:00,10/10/17 0:00,13.6
8/10/17 0:00,9/10/17 0:00,2
7/10/17 0:00,8/10/17 0:00,1.4
6/10/17 0:00,7/10/17 0:00,6.7
5/10/17 0:00,6/10/17 0:00,1.6
4/10/17 0:00,5/10/17 0:00,1.5
3/10/17 0:00,4/10/17 0:00,6
2/10/17 0:00,3/10/17 0:00,10.1
1/10/17 0:00,2/10/17 0:00,16.5
30/9/17 0:00,1/10/17 0:00,8.4
29/9/17 0:00,30/9/17 0:00,12
28/9/17 0:00,29/9/17 0:00,11.3
27/9/17 0:00,28/9/17 0:00,17.2
26/9/17 0:00,27/9/17 0:00,20.3
25/9/17 0:00,26/9/17 0:00,13.5
24/9/17 0:00,25/9/17 0:00,13.8
23/9/17 0:00,24/9/17 0:00,9.5
22/9/17 0:00,23/9/17 0:00,9.4
21/9/17 0:00,22/9/17 0:00,16.5
20/9/17 0:00,21/9/17 0:00,2.5
19/9/17 0:00,20/9/17 0:00,1.3
18/9/17 0:00,19/9/17 0:00,1.4
17/9/17 0:00,18/9/17 0:00,1.5
16/9/17 0:00,17/9/17 0:00,7.7
15/9/17 0:00,16/9/17 0:00,17.6
14/9/17 0:00,15/9/17 0:00,26.7
13/9/17 0:00,14/9/17 0:00,9.3
12/9/17 0:00,13/9/17 0:00,6.6
11/9/17 0:00,12/9/17 0:00,17.6
10/9/17 0:00,11/9/17 0:00,22
9/9/17 0:00,10/9/17 0:00,10.9
8/9/17 0:00,9/9/17 0:00,38.3
7/9/17 0:00,8/9/17 0:00,8.8
6/9/17 0:00,7/9/17 0:00,1.7
5/9/17 0:00,6/9/17 0:00,1.8
4/9/17 0:00,5/9/17 0:00,1.8
3/9/17 0:00,4/9/17 0:00,2
2/9/17 0:00,3/9/17 0:00,1.9
1/9/17 0:00,2/9/17 0:00,1.7
31/8/17 0:00,1/9/17 0:00,1.8
30/8/17 0:00,31/8/17 0:00,1.7
29/8/17 0:00,30/8/17 0:00,1.8
28/8/17 0:00,29/8/17 0:00,1.7
