Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086351,2012,12,25.7,Y
IDCJAC0002,086351,2013,01,27.6,Y
IDCJAC0002,086351,2013,02,29.1,Y
IDCJAC0002,086351,2013,03,26.5,Y
IDCJAC0002,086351,2013,04,20.5,Y
IDCJAC0002,086351,2013,05,17.3,Y
IDCJAC0002,086351,2013,06,14.2,Y
IDCJAC0002,086351,2013,07,15.1,Y
IDCJAC0002,086351,2013,08,15.6,Y
IDCJAC0002,086351,2013,09,19.8,Y
IDCJAC0002,086351,2013,10,19.0,Y
IDCJAC0002,086351,2013,11,21.3,Y
IDCJAC0002,086351,2013,12,24.6,Y
IDCJAC0002,086351,2014,01,29.2,Y
IDCJAC0002,086351,2014,02,28.5,Y
IDCJAC0002,086351,2014,03,25.6,Y
IDCJAC0002,086351,2014,04,20.5,Y
IDCJAC0002,086351,2014,05,18.5,Y
IDCJAC0002,086351,2014,06,14.8,Y
IDCJAC0002,086351,2014,07,13.8,Y
IDCJAC0002,086351,2014,08,15.2,Y
IDCJAC0002,086351,2014,09,18.6,Y
IDCJAC0002,086351,2014,10,22.3,Y
IDCJAC0002,086351,2014,11,25.1,Y
IDCJAC0002,086351,2014,12,25.9,Y
IDCJAC0002,086351,2015,01,26.9,Y
IDCJAC0002,086351,2015,02,28.0,Y
IDCJAC0002,086351,2015,03,23.6,Y
IDCJAC0002,086351,2015,04,19.1,Y
IDCJAC0002,086351,2015,05,16.7,Y
IDCJAC0002,086351,2015,06,13.9,Y
IDCJAC0002,086351,2015,07,12.8,Y
IDCJAC0002,086351,2015,08,13.7,Y
IDCJAC0002,086351,2015,09,17.2,Y
IDCJAC0002,086351,2015,10,25.2,Y
IDCJAC0002,086351,2015,11,23.9,Y
IDCJAC0002,086351,2015,12,29.1,Y
IDCJAC0002,086351,2016,01,27.4,Y
IDCJAC0002,086351,2016,02,26.6,Y
IDCJAC0002,086351,2016,03,25.6,Y
IDCJAC0002,086351,2016,04,22.6,Y
IDCJAC0002,086351,2016,05,18.3,Y
IDCJAC0002,086351,2016,06,13.8,Y
IDCJAC0002,086351,2016,07,14.1,Y
IDCJAC0002,086351,2016,08,15.5,Y
IDCJAC0002,086351,2016,09,16.5,Y
IDCJAC0002,086351,2016,10,19.0,Y
IDCJAC0002,086351,2016,11,21.3,Y
IDCJAC0002,086351,2016,12,26.7,Y
