Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Benin,BEN,2419644,2451123.0,2485248.0,2521922.0,2561022.0,2602490,2646310.0,2692610.0,2741672.0,2793872.0,2849508,2908713.0,2971515.0,3037990.0,3108179.0,3182130,3259918.0,3341618.0,3427274.0,3516917.0,3610578.0,3708675.0,3811326.0,3917941.0,4027682.0,4140176.0,4254522.0,4371470.0,4494242.0,4627194.0,4773137.0,4934077.0,5108335.0,5290562.0,5473217.0,5651141.0,5821985.0,5988093.0,6154708.0,6329476.0,6517810.0,6721337.0,6937985.0,7164976.0,7397985.0,7633757.0,7871707.0,8112573.0,8355980.0,8601771.0,8849892.0
Bermuda,BMU,44400,45500.0,46600.0,47700.0,48900.0,50100,51000.0,52000.0,53000.0,54000.0,55000,54600.0,54200.0,53800.0,53400.0,53000,53200.0,53400.0,53600.0,53800.0,54000.0,54400.0,54800.0,55200.0,55600.0,56000.0,56900.0,57800.0,58700.0,59600.0,60500.0,61000.0,61000.0,61000.0,61300.0,61700.0,61785.96015,61872.04005,61958.23989,62044.55981,62131.0,62460.0,62750.0,63040.0,63320.0,63570.0,63800.0,64000.0,64200.0,64400.0,64600.0
Bhutan,BTN,225993,232000.0,238201.0,244653.0,251419.0,258559,266072.0,274000.0,282495.0,291747.0,301879,312929.0,324815.0,337370.0,350365.0,363603,377068.0,390732.0,404375.0,417734.0,430633.0,442648.0,453793.0,464831.0,476846.0,490438.0,506423.0,524133.0,540918.0,553157.0,558500.0,555747.0,546356.0,533895.0,523417.0,518584.0,520529.0,528222.0,540507.0,555377.0,571262.0,588050.0,606024.0,624431.0,642400.0,659293.0,674681.0,688581.0,701363.0,713665.0,725940.0
Bolivia,BOL,3354895,3430160.0,3507408.0,3586804.0,3668568.0,3752892,3839751.0,3929192.0,4021551.0,4117259.0,4216572,4319564.0,4426012.0,4535500.0,4647442.0,4761344,4877275.0,4995172.0,5114274.0,5233624.0,5352649.0,5471025.0,5589245.0,5708585.0,5830816.0,5957291.0,6088253.0,6223523.0,6363470.0,6508417.0,6658462.0,6813834.0,6974168.0,7138204.0,7304230.0,7470925.0,7637622.0,7804333.0,7971237.0,8138802.0,8307248.0,8476709.0,8646659.0,8815911.0,8982917.0,9146655.0,9306660.0,9463497.0,9618466.0,9773441.0,9929849.0
Bosnia and Herzegovina,BIH,3180020,3225391.0,3270585.0,3314827.0,3357005.0,3396402,3432671.0,3466307.0,3498470.0,3530780.0,3564389,3599885.0,3636930.0,3674638.0,3711662.0,3747109,3780559.0,3812557.0,3844329.0,3877598.0,3913536.0,3949509.0,3984259.0,4021590.0,4066739.0,4121595.0,4194370.0,4279632.0,4349682.0,4367069.0,4308197.0,4157485.0,3931372.0,3677379.0,3462032.0,3332098.0,3305672.0,3365616.0,3480285.0,3601438.0,3693698.0,3748370.0,3775883.0,3782717.0,3781358.0,3781001.0,3781588.0,3779034.0,3774164.0,3767683.0,3760149.0
Botswana,BWA,523997,536540.0,549953.0,564277.0,579518.0,595697,612903.0,631226.0,650676.0,671247.0,692959,715745.0,739683.0,765101.0,792432.0,821942,853774.0,887716.0,923234.0,959584.0,996211.0,1032889.0,1069707.0,1106802.0,1144442.0,1182803.0,1221790.0,1261235.0,1301146.0,1341540.0,1382371.0,1423570.0,1464924.0,1506037.0,1546414.0,1585637.0,1623704.0,1660538.0,1695587.0,1728179.0,1757925.0,1784449.0,1808103.0,1830127.0,1852243.0,1875673.0,1900905.0,1927540.0,1954822.0,1981576.0,2006945.0
Brazil,BRA,72758801,74975656.0,77279855.0,79642214.0,82021855.0,84388983,86735163.0,89068235.0,91394916.0,93727990.0,96078304,98445131.0,100828667.0,103242395.0,105703409.0,108224080,110804816.0,113442106.0,116138507.0,118895875.0,121711864.0,124588432.0,127514673.0,130459023.0,133380123.0,136246764.0,139049440.0,141791325.0,144470377.0,147088677.0,149650206.0,152146887.0,154582103.0,156985824.0,159398558.0,161848162.0,164342524.0,166869168.0,169409713.0,171936271.0,174425387.0,176877135.0,179289227.0,181633074.0,183873377.0,185986964.0,187958211.0,189798070.0,191543237.0,193246610.0,194946470.0
Brunei Darussalam,BRN,79846,83458.0,87192.0,91088.0,95191.0,99536,104130.0,108968.0,114068.0,119440.0,125088,131010.0,137181.0,143548.0,150039.0,156595,163208.0,169865.0,176488.0,182986.0,189300.0,195394.0,201301.0,207122.0,213002.0,219050.0,225288.0,231700.0,238305.0,245112.0,252125.0,259357.0,266794.0,274371.0,282000.0,289614.0,297188.0,304726.0,312216.0,319654.0,327036.0,334348.0,341585.0,348771.0,355943.0,363123.0,370317.0,377513.0,384695.0,391837.0,398920.0
Bulgaria,BGR,7867006,7943000.0,8013000.0,8078000.0,8144000.0,8201000,8258000.0,8310000.0,8370000.0,8434000.0,8490000,8536000.0,8576000.0,8621000.0,8679000.0,8721000,8759000.0,8804000.0,8814000.0,8826000.0,8862000.0,8878000.0,8894000.0,8909000.0,8925000.0,8941000.0,8957000.0,8971000.0,8981000.0,8877000.0,8718000.0,8632000.0,8540000.0,8472000.0,8435000.0,8400000.0,8356000.0,8312068.0,8257000.0,8208000.0,8060000.0,7910000.0,7869000.0,7823000.0,7781161.0,7739900.0,7699020.0,7659764.0,7623395.0,7585131.0,7543325.0
Burkina Faso,BFA,4881947,4956921.0,5033296.0,5112252.0,5195464.0,5284154,5378861.0,5479285.0,5584807.0,5694428.0,5807492,5923949.0,6044303.0,6169133.0,6299238.0,6435274,6577502.0,6726016.0,6881106.0,7043049.0,7212088.0,7388473.0,7572382.0,7763888.0,7963009.0,8169792.0,8384383.0,8606963.0,8837666.0,9076631.0,9323996.0,9580035.0,9844931.0,10118634.0,10401025.0,10692138.0,10992170.0,11301608.0,11621159.0,11951701.0,12294012.0,12648474.0,13015435.0,13395599.0,13789736.0,14198463.0,14622202.0,15061127.0,15515258.0,15984479.0,16468714.0
