NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
63053073718,4064485,Consumption,28/3/2017,No,0.06,0.062,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.059,0.057,0.057,0.058,0.056,0.065,0.118,0.081,0.054,0.057,0.06,0.06,0.057,0.053,0.054,0.056,0.058,0.062,0.062,0.063,0.063,0.06,0.057,0.057,0.057,0.058,0.058,0.057,0.058,0.061,0.061,0.059,0.102,0.262,0.108,0.065,0.058,0.058,0.056
63053073718,4064485,Consumption,29/3/2017,No,0.058,0.06,0.06,0.06,0.058,0.055,0.054,0.052,0.053,0.061,0.059,0.059,0.051,0.051,0.079,0.243,0.091,0.085,0.06,0.057,0.058,0.058,0.06,0.062,0.063,0.064,0.065,0.064,0.058,0.06,0.06,0.06,0.059,0.065,0.068,0.065,0.065,0.061,0.059,0.086,0.323,0.293,0.288,0.54,0.181,0.37,0.105,0.072
63053073718,4064485,Consumption,30/3/2017,No,0.061,0.061,0.06,0.059,0.056,0.055,0.054,0.053,0.053,0.056,0.058,0.058,0.162,0.091,0.07,0.198,0.363,0.325,0.185,0.161,0.199,0.07,0.128,0.114,0.086,0.06,0.059,0.776,1.389,0.907,1.204,1.321,1.239,1.202,1.196,1.198,0.678,0.136,0.085,0.078,0.064,0.057,0.098,0.07,0.072,0.078,0.074,0.075
63053073718,4064485,Consumption,31/3/2017,No,0.068,0.067,0.069,0.068,0.071,0.078,0.074,0.066,0.065,0.064,0.068,0.068,0.071,0.089,0.093,0.092,0.316,0.753,0.151,0.133,0.098,0.075,0.066,0.068,0.071,0.064,0.184,0.164,0.016,0.0,0.095,0.12,0.001,0.0,0.0,0.0,0.0,0.033,0.059,0.062,0.064,0.064,0.056,0.057,0.057,0.069,0.057,0.059
63053073718,4064485,Consumption,1/4/2017,No,0.051,0.05,0.049,0.052,0.055,0.054,0.163,0.087,0.06,0.059,0.056,0.05,0.05,0.056,0.229,0.326,1.321,1.336,1.186,1.042,0.607,0.0,0.003,0.0,0.006,0.307,0.869,0.727,0.698,0.722,0.293,0.105,0.263,0.539,1.077,1.022,1.268,1.373,0.978,0.74,0.736,0.425,0.127,0.097,0.088,0.18,0.109,0.101
63053073718,4064485,Consumption,2/4/2017,No,0.073,0.073,0.075,0.073,0.133,0.128,0.058,0.213,0.118,0.059,0.056,0.273,0.071,0.255,0.229,0.0,0.0,0.279,0.325,0.0,0.0,0.005,0.0,0.018,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.021,0.036,0.065,0.063,0.059,0.061,0.059,0.056,0.055,0.059,0.059,0.059,0.052,0.054
63053073718,4064485,Consumption,3/4/2017,No,0.053,0.051,0.055,0.057,0.058,0.049,0.049,0.05,0.051,0.056,0.056,0.238,0.433,0.518,0.914,0.458,0.202,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.022,0.045,0.056,0.055,0.055,0.116,0.108,0.106,0.105,0.091,0.07,0.061,0.056,0.056
63053073718,4064485,Consumption,4/4/2017,No,0.054,0.054,0.055,0.06,0.058,0.059,0.057,0.052,0.053,0.058,0.051,0.059,0.06,0.098,0.006,0.0,0.065,0.0,0.0,0.002,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.031,0.056,0.058,0.081,0.332,0.355,0.44,0.33,0.474,0.481,0.191,0.22,0.199,0.074
63053073718,4064485,Consumption,5/4/2017,No,0.07,0.068,0.065,0.141,0.245,0.062,0.061,0.261,0.066,0.098,0.227,0.061,0.272,0.049,0.081,0.134,0.527,0.211,0.022,0.091,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.003,0.009,0.011,0.114,0.089,0.093,0.157,0.125,0.126,0.126,0.127,0.161,0.09,0.069,0.063,0.063,0.064
63053073718,4064485,Consumption,6/4/2017,No,0.062,0.063,0.062,0.056,0.056,0.055,0.054,0.061,0.06,0.059,0.053,0.086,0.354,0.097,0.014,0.003,0.085,0.013,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.026,0.055,0.059,0.057,0.057,0.057,0.057,0.146,0.289,0.128,0.101,0.076,0.065,0.062
63053073718,4064485,Consumption,7/4/2017,No,0.063,0.061,0.06,0.059,0.058,0.059,0.062,0.062,0.062,0.06,0.054,0.055,0.172,0.109,0.074,0.0,0.136,0.084,0.041,0.05,0.079,0.083,0.059,0.186,0.307,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.126,0.08,0.13,0.126,0.247,0.17,0.158,0.138,0.085,0.074,0.067,0.065,0.065,0.065
63053073718,4064485,Consumption,8/4/2017,No,0.065,0.063,0.062,0.063,0.059,0.059,0.06,0.059,0.058,0.062,0.064,0.065,0.064,0.059,0.001,0.05,0.0,0.208,0.0,0.0,0.0,0.0,0.002,0.092,0.21,0.824,1.347,1.014,0.0,0.0,0.002,0.0,0.013,0.06,0.071,0.072,0.069,0.067,0.065,0.063,0.063,0.062,0.062,0.063,0.061,0.06,0.06,0.128
63053073718,4064485,Consumption,9/4/2017,No,0.162,0.147,0.12,0.122,0.125,0.125,0.122,0.115,0.111,0.112,0.113,0.119,0.119,0.194,0.926,1.213,1.176,1.293,1.373,0.88,0.0,0.0,0.0,0.0,0.187,0.737,1.088,1.219,0.862,1.033,0.968,1.061,1.16,1.031,0.406,0.329,0.233,0.292,0.314,0.295,0.285,0.068,0.061,0.062,0.061,0.062,0.06,0.057
