year,temp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1879,mnth_highest,41.1,40.0,35.1,31.1,20.3,15.4,16.1,22.9,22.7,26.9,28.6,36.7
1879,mnth_lowest,8.3,8.3,5.6,5.1,1.3,-0.1,-0.5,-0.8,3.4,3.7,5.7,7.8
1879,mnth_mean_max,25.3,25.9,24.1,21.9,15.3,12.6,12.2,15.1,16.1,18.8,19.9,22.9
1879,mnth_mean_min,13.2,13.2,11.9,10.7,7.4,5.2,4.8,6.3,7.7,8.9,9.6,11.7
1880,mnth_highest,41.3,35.7,32.7,26.1,20.1,16.9,17.6,20.5,25.1,23.2,33.3,39.9
1880,mnth_lowest,7.7,11.8,10.7,7.3,4.6,0.1,-1.7,2.2,3.0,4.3,4.5,6.1
1880,mnth_mean_max,25.2,27.4,23.7,19.7,15.4,13.5,13.1,16.4,16.7,17.8,21.0,23.3
1880,mnth_mean_min,12.8,16.2,14.2,11.6,9.2,6.9,4.3,7.7,8.3,7.5,9.7,11.1
1881,mnth_highest,37.7,37.3,36.7,33.3,23.5,18.3,17.7,23.7,25.5,29.3,33.3,36.1
1881,mnth_lowest,8.9,9.1,9.7,4.9,2.1,-0.1,1.3,0.6,1.6,1.9,6.3,7.7
1881,mnth_mean_max,26.2,25.1,23.6,20.7,17.8,13.0,13.6,15.2,17.6,18.5,20.5,22.5
1881,mnth_mean_min,13.7,13.3,12.7,9.5,9.2,4.8,5.7,7.2,7.0,8.3,10.8,12.2
1882,mnth_highest,43.6,40.6,38.9,29.5,20.5,16.7,17.7,22.8,26.1,30.0,35.9,35.7
1882,mnth_lowest,8.3,7.8,7.3,5.5,3.3,-0.3,0.5,1.1,1.1,2.3,5.9,8.3
1882,mnth_mean_max,25.9,26.2,25.5,19.4,17.0,13.2,12.6,14.3,17.4,20.8,22.3,24.0
1882,mnth_mean_min,12.7,12.9,12.4,9.6,9.4,5.6,5.6,6.5,7.9,8.8,10.9,12.0
1883,mnth_highest,40.5,37.7,36.7,29.3,25.8,18.4,16.7,19.5,24.5,30.1,33.9,37.3
1883,mnth_lowest,9.3,8.0,7.7,7.3,2.1,2.9,-0.1,0.5,2.4,5.3,3.3,7.9
1883,mnth_mean_max,26.4,25.7,24.5,21.9,16.2,15.6,12.8,15.1,16.6,19.3,22.7,23.7
1883,mnth_mean_min,13.1,14.5,13.0,10.9,6.9,8.8,5.2,6.0,7.1,8.8,11.0,12.2
1884,mnth_highest,36.5,38.1,36.1,31.2,25.0,20.1,18.3,22.7,26.1,30.0,33.8,31.8
1884,mnth_lowest,7.3,7.2,2.8,4.8,3.3,1.1,-1.1,0.5,1.7,2.2,5.3,6.3
1884,mnth_mean_max,23.3,23.5,23.6,20.9,16.7,14.6,12.8,16.4,18.0,18.4,21.1,22.5
1884,mnth_mean_min,12.3,13.2,12.4,10.4,7.7,6.6,4.1,7.4,7.4,8.0,10.5,11.4
1885,mnth_highest,36.9,38.7,35.1,28.7,23.9,16.7,16.2,25.0,23.9,35.6,32.5,35.1
1885,mnth_lowest,5.5,7.8,5.8,4.4,5.1,0.1,-1.1,-0.1,4.4,2.5,5.6,8.5
1885,mnth_mean_max,24.8,24.9,22.6,19.1,16.5,12.1,12.0,15.4,16.1,19.6,20.8,24.2
1885,mnth_mean_min,12.0,12.9,11.2,9.6,9.0,6.1,4.4,6.8,8.4,9.5,10.8,13.5
1886,mnth_highest,37.7,40.1,36.7,32.3,24.7,17.3,18.3,20.1,26.1,24.1,35.2,36.0
1886,mnth_lowest,9.1,7.7,6.3,3.1,0.3,0.5,-2.1,0.5,2.5,3.7,6.5,8.1
1886,mnth_mean_max,25.7,22.4,21.4,20.2,16.1,14.1,13.8,14.2,18.5,17.5,22.9,23.0
1886,mnth_mean_min,14.4,12.1,11.0,10.2,7.2,5.4,4.2,5.8,7.6,7.7,10.8,12.5
1887,mnth_highest,40.5,37.5,33.9,32.5,18.9,18.3,15.5,22.3,22.8,27.8,31.8,34.7
1887,mnth_lowest,8.8,8.1,5.5,5.1,2.7,0.5,1.6,0.9,1.7,3.3,5.3,7.8
1887,mnth_mean_max,27.0,25.8,24.5,20.1,14.6,12.1,12.8,14.2,15.2,18.7,19.4,24.6
1887,mnth_mean_min,15.4,14.9,13.1,10.7,8.3,6.4,6.6,6.0,6.8,8.7,9.8,13.5
1888,mnth_highest,40.0,36.2,34.4,31.6,25.6,19.3,17.9,19.5,26.7,30.0,38.9,35.7
1888,mnth_lowest,9.3,6.1,5.5,1.5,4.4,2.3,-2.1,-1.1,1.3,1.7,3.3,8.4
1888,mnth_mean_max,23.2,24.7,20.7,21.1,16.2,14.5,13.0,13.7,16.9,18.4,23.4,25.9
1888,mnth_mean_min,13.8,12.2,10.9,8.5,8.3,7.9,5.5,4.5,7.7,8.1,11.0,13.4
