Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,014015,1955,06,31.3,Y
IDCJAC0002,014015,1955,07,30.9,Y
IDCJAC0002,014015,1955,08,32.4,Y
IDCJAC0002,014015,1955,09,33.0,Y
IDCJAC0002,014015,1955,10,33.0,Y
IDCJAC0002,014015,1955,11,31.9,Y
IDCJAC0002,014015,1955,12,32.8,Y
IDCJAC0002,014015,1956,01,31.6,Y
IDCJAC0002,014015,1956,02,29.8,Y
IDCJAC0002,014015,1956,03,31.4,Y
IDCJAC0002,014015,1956,04,31.8,Y
IDCJAC0002,014015,1956,05,31.1,Y
IDCJAC0002,014015,1956,06,30.3,Y
IDCJAC0002,014015,1956,07,30.5,Y
IDCJAC0002,014015,1956,08,31.6,Y
IDCJAC0002,014015,1956,09,31.9,Y
IDCJAC0002,014015,1956,10,32.6,Y
IDCJAC0002,014015,1956,11,32.8,Y
IDCJAC0002,014015,1956,12,31.5,Y
IDCJAC0002,014015,1957,01,30.8,Y
IDCJAC0002,014015,1957,02,30.6,Y
IDCJAC0002,014015,1957,03,30.9,Y
IDCJAC0002,014015,1957,04,32.4,Y
IDCJAC0002,014015,1957,05,31.7,Y
IDCJAC0002,014015,1957,06,31.1,Y
IDCJAC0002,014015,1957,07,30.5,Y
IDCJAC0002,014015,1957,08,30.1,Y
IDCJAC0002,014015,1957,09,32.0,Y
IDCJAC0002,014015,1957,10,32.9,Y
IDCJAC0002,014015,1957,11,33.6,Y
IDCJAC0002,014015,1957,12,31.9,Y
IDCJAC0002,014015,1958,01,32.2,Y
IDCJAC0002,014015,1958,02,32.3,Y
IDCJAC0002,014015,1958,03,32.3,Y
IDCJAC0002,014015,1958,04,33.1,Y
IDCJAC0002,014015,1958,05,33.1,Y
IDCJAC0002,014015,1958,06,31.6,Y
IDCJAC0002,014015,1958,07,30.7,Y
IDCJAC0002,014015,1958,08,32.8,Y
IDCJAC0002,014015,1958,09,32.9,Y
IDCJAC0002,014015,1958,10,33.5,Y
IDCJAC0002,014015,1958,11,33.7,Y
IDCJAC0002,014015,1958,12,33.1,Y
IDCJAC0002,014015,1959,01,31.4,Y
IDCJAC0002,014015,1959,02,32.7,Y
IDCJAC0002,014015,1959,03,33.0,Y
IDCJAC0002,014015,1959,04,31.7,Y
IDCJAC0002,014015,1959,05,30.9,Y
IDCJAC0002,014015,1959,06,30.5,Y
IDCJAC0002,014015,1959,07,29.5,Y
IDCJAC0002,014015,1959,08,31.0,Y
IDCJAC0002,014015,1959,09,31.9,Y
IDCJAC0002,014015,1959,10,33.3,Y
IDCJAC0002,014015,1959,11,33.6,Y
IDCJAC0002,014015,1959,12,33.1,Y
IDCJAC0002,014015,1960,01,31.5,Y
IDCJAC0002,014015,1960,02,31.1,Y
IDCJAC0002,014015,1960,03,31.5,Y
IDCJAC0002,014015,1960,04,32.3,Y
IDCJAC0002,014015,1960,05,30.0,Y
IDCJAC0002,014015,1960,06,29.7,Y
IDCJAC0002,014015,1960,07,30.2,Y
IDCJAC0002,014015,1960,08,30.4,Y
IDCJAC0002,014015,1960,09,32.0,Y
IDCJAC0002,014015,1960,10,33.4,Y
IDCJAC0002,014015,1960,11,33.5,Y
IDCJAC0002,014015,1960,12,32.5,Y
IDCJAC0002,014015,1961,01,31.6,Y
IDCJAC0002,014015,1961,02,31.3,Y
IDCJAC0002,014015,1961,03,32.6,Y
IDCJAC0002,014015,1961,04,32.8,Y
IDCJAC0002,014015,1961,05,32.0,Y
IDCJAC0002,014015,1961,06,30.0,Y
IDCJAC0002,014015,1961,07,29.7,Y
IDCJAC0002,014015,1961,08,29.9,Y
IDCJAC0002,014015,1961,09,32.2,Y
IDCJAC0002,014015,1961,10,33.3,Y
IDCJAC0002,014015,1961,11,32.5,Y
IDCJAC0002,014015,1961,12,33.7,Y
IDCJAC0002,014015,1962,01,30.7,Y
IDCJAC0002,014015,1962,02,30.9,Y
IDCJAC0002,014015,1962,03,32.7,Y
IDCJAC0002,014015,1962,04,32.6,Y
IDCJAC0002,014015,1962,05,32.3,Y
IDCJAC0002,014015,1962,06,31.8,Y
IDCJAC0002,014015,1962,07,30.6,Y
IDCJAC0002,014015,1962,08,31.5,Y
IDCJAC0002,014015,1962,09,32.7,Y
IDCJAC0002,014015,1962,10,33.2,Y
IDCJAC0002,014015,1962,11,33.6,Y
