pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_dist,sy_vmag,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,pl_insol
"K2-29 b","K2-29","Transit",2016,"K2",178.47500000,12.5320000,"G7 V",5358.00,0.860000,0.940000,-0.29533,3.25883210000,0.0421700000,13.33871000,232.01590000,1171.00,293.0000
"K2-30 b","K2-30","Transit",2016,"K2",333.04200000,13.5470000,"G6 V",5425.00,0.844000,0.900000,-0.25649,4.09850300000,0.0483900000,11.64615100,184.02357000,1092.00,299.0000
"K2-60 b","K2-60","Transit",2016,"K2",491.87000000,12.8570000,"G4 V",5500.00,1.120000,0.970000,0.28233,3.00265000000,0.0450000000,7.65574700,135.39558000,1400.00,1212.0000
"Kepler-1624 b","Kepler-1624","Transit",2016,"Kepler",258.97900000,16.5970000,"M V",3768.00,0.552000,0.541000,-1.32262,3.29031400000,0.0327000000,6.59000000,35.30000000,540.00,6.0100
"WASP-118 b","WASP-118","Transit",2016,"SuperWASP",376.65800000,11.0090000,"F6",6410.00,1.696000,1.320000,0.65885,4.04604350000,0.0545300000,16.14096000,163.36462000,1729.00,6586.4700
"WASP-136 b","WASP-136","Transit",2016,"SuperWASP",275.58700000,9.9740000,"F",6250.00,2.390140,1.410000,0.82265,5.21536178778,0.0661000000,16.81347105,479.92089457,1630.00,1843.4633
"WASP-90 b","WASP-90","Transit",2016,"SuperWASP",466.43300000,11.6180000,"F6",6430.00,1.980000,1.550000,0.63014,3.91624300000,0.0562000000,18.27067000,200.23290000,1840.00,1704.4939
"WASP-92 b","WASP-92","Transit",2016,"SuperWASP",575.88900000,12.9510000,"F7",6280.00,1.341000,1.190000,0.27461,2.17467420000,0.0348000000,16.37634900,255.85315000,1871.00,1622.2528
"HAT-P-50 b","HAT-P-50","Transit",2015,"HATNet",515.45800000,11.7030000,"F5",6280.00,1.698000,1.273000,0.60314,3.12201090000,0.0453000000,14.43719200,429.07050000,1862.00,2108.4362
"HAT-P-54 b","HAT-P-54","Transit",2015,"HATNet",143.65100000,13.3980000,"K7",4390.00,0.617000,0.645000,-0.90170,3.79984700000,0.0411700000,10.58129600,241.55080000,818.00,88.6713
"HATS-6 b","HATS-6","Transit",2015,"HATSouth",169.31800000,15.0440000,"M1 V",3724.00,0.570000,0.574000,-1.09983,3.32527250000,0.0362300000,11.18658200,101.38777000,712.80,47.3315
"K2-10 b","K2-10","Transit",2015,"K2",272.36000000,12.4290000,"F9",5533.00,0.956000,0.880000,-0.10088,19.30553000000,0.1370000000,3.77300000,25.20000000,649.00,42.1000
"K2-13 b","K2-13","Transit",2015,"K2",342.39400000,12.8820000,"G3",5698.00,0.780000,0.800000,-0.13534,39.91488000000,0.2114000000,1.89000000,4.23000000,511.00,22.8000
"K2-14 b","K2-14","Transit",2015,"K2",364.04800000,15.7800000,"M0",3789.00,0.450000,0.470000,-0.96847,8.36802000000,0.0627000000,4.81000000,20.70000000,488.00,8.0000
"K2-15 b","K2-15","Transit",2015,"K2",493.99200000,14.7580000,"G8",5131.00,0.680000,0.720000,-0.45314,11.81040000000,0.0910000000,2.48000000,6.71000000,676.00,48.0000
"K2-17 b","K2-17","Transit",2015,"K2",125.10600000,13.4110000,"K7",4320.00,0.660000,0.710000,-0.99660,17.96753000000,0.1190000000,2.23000000,5.60000000,487.00,4.9100
"K2-19 b","K2-19","Transit",2015,"K2",289.82700000,13.0240000,"G9",5350.00,0.824000,0.892000,-0.29196,7.92280600000,0.0748700000,6.59000000,30.80000000,857.00,87.0000
"K2-19 c","K2-19","Transit",2015,"K2",289.82700000,13.0240000,"G9",5350.00,0.824000,0.892000,-0.29196,11.89770000000,0.0982000000,3.88000000,11.12000000,749.00,51.0000
"KELT-7 b","KELT-7","Transit",2015,"KELT",136.68100000,8.5600000,"F",6768.00,1.810000,1.760000,0.75800,2.73477000000,0.0441500000,17.93440000,441.78370000,2048.00,1775.3900
"Kepler-445 b","Kepler-445","Transit",2015,"Kepler",127.20100000,18.1900000,"M4",3157.00,0.210000,0.180000,-2.09994,2.98415100000,0.0217000000,1.58000000,3.12000000,401.00,17.6570
"Kepler-445 c","Kepler-445","Transit",2015,"Kepler",127.20100000,18.1900000,"M4",3157.00,0.210000,0.180000,-2.09994,4.87122900000,0.0301000000,2.51000000,6.85000000,341.00,9.1770
"Kepler-445 d","Kepler-445","Transit",2015,"Kepler",127.20100000,18.1900000,"M4",3157.00,0.210000,0.180000,-2.09994,8.15275000000,0.0439000000,1.25000000,2.10000000,305.00,4.3140
"Kepler-447 b","Kepler-447","Transit",2015,"Kepler",268.04100000,12.5200000,"G8 V",5493.00,1.050000,1.000000,-0.19007,7.79430132000,0.0769000000,18.49000000,435.41000000,882.00,119.0390
"WASP-135 b","WASP-135","Transit",2015,"SuperWASP",298.21400000,13.1810000,"G5 V",5675.00,0.960000,0.980000,-0.32573,1.40137940000,0.0243000000,14.57170000,603.87700000,1403.66,917.4101
"WASP-83 b","WASP-83","Transit",2015,"SuperWASP",271.10300000,12.3120000,"G8",5510.00,1.050000,1.110000,-0.04966,4.97125200000,0.0590000000,11.65736000,95.34900000,1120.00,238.8750
"WASP-89 b","WASP-89","Transit",2015,"SuperWASP",290.94600000,13.2100000,"K3",5130.00,0.880000,0.920000,-0.34333,3.35642270000,0.0427000000,11.65736000,1875.19700000,1120.00,278.8533
"HATS-5 b","HATS-5","Transit",2014,"HATSouth",246.38400000,12.5980000,"G",5304.00,0.871000,0.936000,-0.26800,4.76338700000,0.0542000000,10.22300000,75.32300000,1025.00,183.2395
"KOI-1257 b","KOI-1257","Transit",2014,"Kepler",656.00000000,14.8180000,"G5 V",5520.00,1.130000,0.990000,0.02920,86.64766100000,0.3820000000,10.54000000,460.83000000,511.00,7.2800
"Kepler-101 c","Kepler-101","Transit",2014,"Kepler",927.98100000,13.7000000,"G3 IV",5667.00,1.560000,1.170000,0.42034,6.02976000000,0.0684000000,1.25000000,3.78000000,1413.00,596.0690
"Kepler-114 b","Kepler-114","Transit",2014,"Kepler",259.53300000,13.9610000,"M0 V",4605.00,0.667000,0.770000,-0.68530,5.18854900000,0.0530000000,1.26000000,1.09000000,586.00,92.5350
"Kepler-125 b","Kepler-125","Transit",2014,"Kepler",183.36500000,15.4310000,"M1 V",3810.00,0.512000,0.542101,-1.32790,4.16438900000,0.0410000000,2.37000000,6.21000000,590.00,33.1840
"Kepler-158 b","Kepler-158","Transit",2014,"Kepler",315.17700000,14.7430000,"K",4623.00,0.624000,0.655000,-0.75667,16.70918400000,0.1110000000,2.12000000,5.14000000,500.00,13.6340
"Kepler-158 c","Kepler-158","Transit",2014,"Kepler",315.17700000,14.7430000,"K",4623.00,0.624000,0.655000,-0.75667,28.55138300000,0.1580000000,1.90000000,4.27000000,418.00,6.6770
"Kepler-186 b","Kepler-186","Transit",2014,"Kepler",177.59400000,15.1380000,"M1",3788.00,0.472000,0.478000,-1.38500,3.88679070000,0.0343000000,1.07000000,1.24000000,571.00,37.3720
"Kepler-186 d","Kepler-186","Transit",2014,"Kepler",177.59400000,15.1380000,"M1",3788.00,0.472000,0.478000,-1.38500,13.34299600000,0.0781000000,1.40000000,2.54000000,379.00,7.2040
"Kepler-186 f","Kepler-186","Transit",2014,"Kepler",177.59400000,15.1380000,"M1",3755.00,0.523000,0.544000,-1.26000,129.94410000000,0.4320000000,1.17000000,1.71000000,177.00,0.3000
"Kepler-205 b","Kepler-205","Transit",2014,"Kepler",159.72000000,13.7790000,"M1 V",4321.00,0.546000,0.592000,-0.95618,2.75564000000,0.0320000000,1.51000000,2.89000000,757.00,102.5620
"Kepler-205 c","Kepler-205","Transit",2014,"Kepler",159.72000000,13.7790000,"M1 V",4321.00,0.546000,0.592000,-0.95618,20.30654600000,0.1220000000,1.64000000,3.33000000,389.00,7.1400
"Kepler-210 b","Kepler-210","Transit",2014,"Kepler",232.75000000,14.1260000,"M0 V",4559.00,0.650000,0.770000,-0.79874,2.45323400000,0.0320000000,2.94000000,8.96000000,737.00,122.1390
