x,y,z,classification,return intensity,scan angle,return number,total returns
383488.3,5828915.3,12.2,5.0,30.0,-13.0,2.0,2.0
383486.8,5828917.1,0.0,2.0,14.0,-13.0,5.0,5.0
383489.2,5828911.5,13.3,5.0,91.0,-13.0,1.0,1.0
383489.3,5828911.1,13.5,5.0,110.0,-12.0,1.0,1.0
383489.4,5828910.8,13.6,5.0,14.0,-12.0,1.0,3.0
383489.2,5828911.0,12.6,5.0,73.0,-12.0,2.0,3.0
383488.9,5828910.8,8.7,5.0,10.0,-12.0,2.0,2.0
383488.2,5828911.4,3.6,5.0,25.0,-12.0,3.0,3.0
383488.3,5828911.1,3.7,5.0,34.0,-12.0,3.0,3.0
383488.4,5828910.7,3.7,5.0,33.0,-12.0,3.0,3.0
383488.1,5828910.7,0.6,4.0,20.0,-12.0,2.0,2.0
383488.1,5828910.3,0.6,4.0,107.0,-12.0,1.0,1.0
383488.2,5828910.0,0.7,4.0,66.0,-12.0,1.0,1.0
383488.3,5828909.6,0.7,4.0,124.0,-12.0,1.0,1.0
383488.3,5828909.3,0.6,4.0,57.0,-12.0,2.0,2.0
383488.3,5828909.1,0.0,2.0,37.0,-12.0,2.0,2.0
383488.8,5828908.1,3.0,5.0,93.0,-12.0,1.0,2.0
383488.6,5828907.9,0.3,4.0,27.0,-12.0,2.0,2.0
383486.8,5828918.8,2.1,5.0,16.0,-13.0,3.0,3.0
383488.8,5828915.2,13.9,5.0,15.0,-13.0,3.0,3.0
383489.4,5828911.4,12.8,5.0,78.0,-13.0,1.0,3.0
383489.4,5828911.2,12.5,5.0,93.0,-12.0,1.0,2.0
383488.3,5828910.5,0.6,4.0,41.0,-12.0,2.0,2.0
383488.4,5828910.2,0.6,4.0,57.0,-12.0,1.0,1.0
383488.9,5828909.2,3.9,5.0,21.0,-12.0,1.0,3.0
383488.7,5828909.5,2.3,5.0,19.0,-12.0,2.0,3.0
383488.5,5828909.8,1.0,4.0,38.0,-12.0,3.0,3.0
383489.0,5828908.8,4.0,5.0,73.0,-12.0,1.0,3.0
383488.8,5828909.1,2.6,5.0,43.0,-12.0,2.0,3.0
383488.5,5828909.5,0.5,4.0,17.0,-12.0,3.0,3.0
383488.9,5828908.8,2.4,5.0,21.0,-12.0,1.0,2.0
383488.6,5828909.2,0.5,4.0,95.0,-12.0,2.0,2.0
383489.0,5828908.3,3.1,5.0,24.0,-12.0,1.0,3.0
383488.9,5828908.5,1.9,4.0,27.0,-12.0,2.0,3.0
383488.6,5828908.9,0.1,3.0,36.0,-12.0,3.0,3.0
383487.2,5828919.0,2.3,5.0,20.0,-13.0,2.0,2.0
383488.4,5828911.8,0.5,4.0,30.0,-12.0,2.0,2.0
383489.0,5828910.3,3.0,5.0,23.0,-12.0,3.0,3.0
383488.7,5828910.4,0.6,4.0,27.0,-12.0,2.0,2.0
383489.2,5828909.4,3.9,5.0,27.0,-12.0,2.0,2.0
383489.3,5828909.1,3.9,5.0,102.0,-12.0,1.0,2.0
383489.2,5828909.3,2.9,5.0,41.0,-12.0,2.0,2.0
383489.2,5828909.0,2.7,5.0,141.0,-12.0,1.0,1.0
383489.2,5828908.8,1.9,4.0,30.0,-12.0,1.0,3.0
383489.0,5828909.0,0.7,4.0,24.0,-12.0,2.0,3.0
383488.9,5828909.2,0.0,2.0,33.0,-12.0,3.0,3.0
383489.0,5828917.6,13.9,5.0,71.0,-14.0,2.0,2.0
383489.1,5828917.3,14.1,5.0,112.0,-13.0,1.0,1.0
383489.1,5828911.5,3.6,5.0,98.0,-12.0,1.0,1.0
383489.2,5828911.2,3.6,5.0,34.0,-12.0,2.0,3.0
383488.7,5828911.8,0.5,4.0,48.0,-12.0,3.0,3.0
383489.3,5828910.5,3.6,5.0,20.0,-12.0,3.0,4.0
383488.8,5828911.2,0.0,2.0,14.0,-12.0,4.0,4.0
383489.5,5828909.8,3.6,5.0,18.0,-12.0,3.0,3.0
383489.6,5828909.5,3.6,5.0,48.0,-12.0,2.0,3.0
383489.1,5828910.1,0.3,3.0,14.0,-12.0,3.0,3.0
383489.6,5828909.2,3.1,5.0,27.0,-12.0,2.0,2.0
383489.6,5828908.9,3.0,5.0,71.0,-12.0,2.0,2.0
383489.6,5828908.6,2.7,5.0,23.0,-12.0,2.0,3.0
383489.3,5828909.1,0.2,3.0,33.0,-12.0,3.0,3.0
383489.7,5828908.4,2.4,5.0,10.0,-12.0,2.0,2.0
383489.2,5828917.6,13.9,5.0,114.0,-14.0,1.0,1.0
